Number of clusters	Members in cluster	Percentage of total
1	1	.01300
2	1	.01300
3	1	.01300
4	1	.01300
5	1	.01300
6	1	.01300
7	1	.01300
8	1	.01300
9	1	.01300
10	1	.01300
11	1	.01300
12	1	.01300
13	1	.01300
14	1	.01300
15	1	.01300
16	1	.01300
17	1	.01300
18	1	.01300
19	1	.01300
20	1	.01300
21	1	.01300
22	1	.01300
23	1	.01300
24	1	.01300
25	1	.01300
26	1	.01300
27	1	.01300
28	1	.01300
29	1	.01300
30	1	.01300
31	1	.01300
32	1	.01300
33	1	.01300
34	1	.01300
35	1	.01300
36	1	.01300
37	1	.01300
38	1	.01300
39	1	.01300
40	1	.01300
41	1	.01300
42	1	.01300
43	1	.01300
44	1	.01300
45	1	.01300
46	1	.01300
47	1	.01300
48	1	.01300
49	1	.01300
50	1	.01300
51	1	.01300
52	1	.01300
53	1	.01300
54	1	.01300
55	1	.01300
56	1	.01300
57	1	.01300
58	1	.01300
59	1	.01300
60	1	.01300
61	1	.01300
62	1	.01300
63	1	.01300
64	1	.01300
65	1	.01300
66	1	.01300
67	1	.01300
68	1	.01300
69	1	.01300
70	1	.01300
71	1	.01300
72	1	.01300
73	1	.01300
74	1	.01300
75	1	.01300
76	1	.01300
77	1	.01300
78	1	.01300
79	1	.01300
80	1	.01300
81	1	.01300
82	1	.01300
83	1	.01300
84	1	.01300
85	1	.01300
86	1	.01300
87	1	.01300
88	1	.01300
89	1	.01300
90	1	.01300
91	1	.01300
92	1	.01300
93	1	.01300
94	1	.01300
95	1	.01300
96	1	.01300
97	1	.01300
98	1	.01300
99	1	.01300
100	1	.01300
101	1	.01300
102	1	.01300
103	1	.01300
104	1	.01300
105	1	.01300
106	1	.01300
107	1	.01300
108	1	.01300
109	1	.01300
110	1	.01300
111	1	.01300
112	1	.01300
113	1	.01300
114	1	.01300
115	1	.01300
116	1	.01300
117	1	.01300
118	1	.01300
119	1	.01300
120	1	.01300
121	1	.01300
122	1	.01300
123	1	.01300
124	1	.01300
125	1	.01300
126	1	.01300
127	1	.01300
128	1	.01300
129	1	.01300
130	1	.01300
131	1	.01300
132	1	.01300
133	1	.01300
134	1	.01300
135	1	.01300
136	1	.01300
137	1	.01300
138	1	.01300
139	1	.01300
140	1	.01300
141	1	.01300
142	1	.01300
143	1	.01300
144	1	.01300
145	1	.01300
146	1	.01300
147	1	.01300
148	1	.01300
149	1	.01300
150	1	.01300
151	1	.01300
152	1	.01300
153	1	.01300
154	1	.01300
155	1	.01300
156	1	.01300
157	1	.01300
158	1	.01300
159	1	.01300
160	1	.01300
161	1	.01300
162	1	.01300
163	1	.01300
164	1	.01300
165	1	.01300
166	1	.01300
167	1	.01300
168	1	.01300
169	1	.01300
170	1	.01300
171	1	.01300
172	1	.01300
173	1	.01300
174	1	.01300
175	1	.01300
176	1	.01300
177	1	.01300
178	1	.01300
179	1	.01300
180	1	.01300
181	1	.01300
182	1	.01300
183	1	.01300
184	1	.01300
185	1	.01300
186	1	.01300
187	1	.01300
188	1	.01300
189	1	.01300
190	1	.01300
191	1	.01300
192	1	.01300
193	1	.01300
194	1	.01300
195	1	.01300
196	1	.01300
197	1	.01300
198	1	.01300
199	1	.01300
200	1	.01300
201	1	.01300
202	1	.01300
203	1	.01300
204	1	.01300
205	1	.01300
206	1	.01300
207	1	.01300
208	1	.01300
209	1	.01300
210	1	.01300
211	1	.01300
212	1	.01300
213	1	.01300
214	1	.01300
215	1	.01300
216	1	.01300
217	1	.01300
218	1	.01300
219	1	.01300
220	1	.01300
221	1	.01300
222	1	.01300
223	1	.01300
224	1	.01300
225	1	.01300
226	1	.01300
227	1	.01300
228	1	.01300
229	1	.01300
230	1	.01300
231	1	.01300
232	1	.01300
233	1	.01300
234	1	.01300
235	1	.01300
236	1	.01300
237	1	.01300
238	1	.01300
239	1	.01300
240	1	.01300
241	1	.01300
242	1	.01300
243	1	.01300
244	1	.01300
245	1	.01300
246	1	.01300
247	1	.01300
248	1	.01300
249	1	.01300
250	1	.01300
251	1	.01300
252	1	.01300
253	1	.01300
254	1	.01300
255	1	.01300
256	1	.01300
257	1	.01300
258	1	.01300
259	1	.01300
260	1	.01300
261	1	.01300
262	1	.01300
263	1	.01300
264	1	.01300
265	1	.01300
266	1	.01300
267	1	.01300
268	1	.01300
269	1	.01300
270	1	.01300
271	1	.01300
272	1	.01300
273	1	.01300
274	1	.01300
275	1	.01300
276	1	.01300
277	1	.01300
278	1	.01300
279	1	.01300
280	1	.01300
281	1	.01300
282	1	.01300
283	1	.01300
284	1	.01300
285	1	.01300
286	1	.01300
287	1	.01300
288	1	.01300
289	1	.01300
290	1	.01300
291	1	.01300
292	1	.01300
293	1	.01300
294	1	.01300
295	1	.01300
296	1	.01300
297	1	.01300
298	1	.01300
299	1	.01300
